商品名称,商品编号,条形码,产地,规格信息,促销价格,原价
康师傅老坛酸菜牛肉面（桶装）122g,11055,6920152414071,见包装,122g,5.00,6.80
雀巢咖啡丝滑拿铁268ml,06300,6917878030623,天津,268ml,5.10,7.50
东方树叶乌龙茶原味500ml,12117,6921168558032,浙江,500ml,4.30,6.00
蒙牛特仑苏纯牛奶250ml*12,06518,6923644266318,内蒙古,250ml*12,49.90,78.80
东方树叶茉莉花茶原味500ml,12118,6921168558049,浙江,500ml,4.30,6.00
舍得白酒52°浓香型500ml,08733,6931088425888,四川,500ml,438.00,598.00
西王玉米油5L,12211,6943309000019,山东邹平,5L,82.80,158.80
洋河40.8°蓝色经典梦之蓝M3-500ml,10366,6932599214480,江苏宿迁,500ml,388.00,598.00
好丽友薯愿薯片香烤原味104g,12535,6920907809862,上海,104g,7.90,9.50
洋河40.8°蓝色经典梦之蓝M6-500ml,10367,6932599214503,江苏宿迁,500ml,539.00,768.00
国杞天香铁罐枸杞（特优级）240g,12957,6951239709452,宁夏,240g,45.00,75.00
益达木糖醇无糖口香糖清爽西瓜味56g,10811,6923450657638,广州,56g,11.90,16.90
香巴佬香酥鸡腿90g,13234,6920421006181,浙江温州,90g,14.00,15.90
香巴佬鸡腿香辣味90g,13235,6920421006280,温州,90g,14.00,15.90
士力架花生夹心巧克力51g,16265,6914973603394,北京,51g,4.80,6.90
国杞天香铁盒枸杞（特优级）450g,13247,6951239709490,宁夏,450g,108.00,188.00
泸州老窖国窖1573白酒52°500ml,16269,6901798104595,四川,500ml,949.00,1499.00
国杞天香纸盒枸杞（特优级）600g,13588,6951239709513,宁夏,600g,168.00,300.00
易捷卓玛泉天然冰川饮用水330ml,16561,6955748500029,西藏,330ml,1.50,2.50
康师傅妙芙法式蛋糕牛奶红豆味100g,14469,6920731771908,浙江省杭州市,100g,8.80,12.00
易捷卓玛泉西藏天然冰川水4L,17157,6955748500074,拉萨,4L,9.90,12.00
康师傅妙芙法式蛋糕浓情巧克力味100g,14470,6920731771601,浙江省杭州市,100g,8.80,12.00
旺旺原味煎饼100g,17287,6936515822025,济南,100g,8.00,10.00
卡夫闲趣自然清咸韧性饼干原味90g,14865,6904682300202,上海,90g,4.50,6.00
旺旺煎饼黑芝麻口味100g,17289,6936515822575,安徽省安庆市,100g,8.00,10.00
好丽友派巧克力味204g,15353,6920907800944,上海,222g,10.50,16.90
炫迈无糖口香糖水蜜西瓜味50.4g,17689,6954432710256,泰国,50.4g,11.90,15.90
炫迈无糖口香糖炫动薄荷味50.4g,17728,6954432710225,泰国,50.4g,11.90,15.90
法丽兹抹茶慕斯巧克力味曲奇115g,18758,6947929617183,广东省东莞市,115g,8.00,13.00
五粮液39°白酒500ml,17798,6901382266395,四川省宜宾市,500ml,749.00,1199.00
鲁花特香菜籽油5L,18986,6938749816122,山东莱阳,5L,105.00,180.00
陇上花牛苹果汁100%（盒）250ml,17854,6949711100194,天水市,250ml,2.50,4.00
鸥露本色面巾纸390张,19082,6944312683503,四川,,4.00,6.50
喜力啤酒（听装）500ml,18097,6953029710242,广州,500ml,5.90,10.00
鸥露本色卫生纸无芯1100g,19084,6944312690396,四川成都,1100g,14.90,26.00
伊利金典纯牛奶250ml,18358,6907992507095,伊利,250ml,3.30,5.50
李子园草莓风味乳饮料450ml,19258,6916196422349,浙江金华,450ml,4.50,5.50
易臻选BORO＆ONLIFE 100%椰子水420ml,43655,6979007540007,中国浙江,420ml,5.90,7.90
每日生机松茸黄油苏打饼干840g,43668,6954200712345,广东,840g,35.00,55.00
